AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00018178  31.9172  -87.7347  118.9 AL THOMASVILLE                        HCN       TRADITIONAL  
USC00018209  32.9206  -86.6708  207.3 AL THORSBY EXP STN                              TRADITIONAL  
USC00018323  31.8075  -85.9722  165.2 AL TROY                               HCN       TRADITIONAL  
USC00018380  33.2119  -87.6161   51.5 AL TUSCALOOSA ACFD                    HCN       TRADITIONAL  
USC00018385  33.2097  -87.5936   46.3 AL TUSCALOOSA OLIVER DAM                        TRADITIONAL  
USC00018438  32.0142  -85.7464  134.1 AL UNION SPRINGS 9 S                  HCN       TRADITIONAL  
USC00018469  34.5667  -85.6128  323.7 AL VALLEY HEAD                        HCN       TRADITIONAL  
USC00018517  33.7392  -88.1275   90.8 AL VERNON                                       TRADITIONAL  
USC00018605  33.1167  -85.5667  205.7 AL WADLEY                                       TRADITIONAL  
USC00018608  33.1361  -85.5869  216.4 AL WADLEY NR 2                                  PSEUDONORMALS
USC00018648  34.0661  -86.3069  259.1 AL WALNUT GROVE                                 TRADITIONAL  
USC00018653  32.7028  -85.8936  125.0 AL WALNUT HILL 3 W                              TRADITIONAL  
USC00018673  32.7744  -87.8306   33.5 AL WARRIOR L&D                                  TRADITIONAL  
USC00018755  34.1322  -85.7925  179.8 AL WEISS DAM                                    TRADITIONAL  
USC00018809  33.1186  -87.1267  152.4 AL WEST BLOCTON                                 TRADITIONAL  
USC00018812  34.2447  -86.9586  293.2 AL WEST POINT                                   PSEUDONORMALS
USC00018859  32.5906  -86.2103   78.3 AL WETUMPKA                                     TRADITIONAL  
USC00018867  31.6508  -87.7097   51.8 AL WHATLEY                                      TRADITIONAL  
USC00018998  33.9111  -87.8475  142.6 AL WINFIELD 2 SW                                TRADITIONAL  
USC00020060  33.9433 -113.1875  659.9 AZ AGUILA                                       TRADITIONAL  
USC00020080  32.3697 -112.8600  539.5 AZ AJO                                HCN       TRADITIONAL  
USC00020100  34.2281 -113.5778  393.2 AZ ALAMO DAM                                    TRADITIONAL  
USC00020159  33.8492 -109.1469 2453.6 AZ ALPINE                                       TRADITIONAL  
USC00020174  33.7383 -109.1167 2051.3 AZ ALPINE 8 SSE                                 TRADITIONAL  
USC00020287  31.9792 -111.3831  838.2 AZ ANVIL RCH                                    TRADITIONAL  
USC00020288  33.4625 -111.4814  630.9 AZ APACHE JUNCTION 5 NE                         TRADITIONAL  
USC00020380  31.5722 -111.3350 1103.4 AZ ARIVACA                                      TRADITIONAL  
USC00020404  32.7306 -111.6917  464.8 AZ ARIZONA CITY                                 PSEUDONORMALS
USC00020498  33.0869 -111.2864  472.4 AZ ASHURST HAYDEN DAM                           TRADITIONAL  
USC00020586  34.5972 -113.1739 1205.5 AZ BAGDAD                                       TRADITIONAL  
USC00020632  33.8097 -111.6497  502.9 AZ BARTLETT DAM                                 TRADITIONAL  
USC00020670  34.6417 -111.7831 1074.4 AZ BEAVER CREEK                                 TRADITIONAL  
USC00020672  36.8969 -113.9425  571.5 AZ BEAVER DAM                                   TRADITIONAL  
USC00020678  35.2300 -111.8214 2179.9 AZ BELLEMONT WFO                                TRADITIONAL  
USC00020683  31.8806 -110.2403 1124.7 AZ BENSON 6 SE                                  TRADITIONAL  
USC00020750  36.6778 -110.5411 2220.8 AZ BETATAKIN                                    TRADITIONAL  
USC00020775  31.4475 -109.9289 1694.7 AZ BISBEE 1WNW                                  TRADITIONAL  
USC00020808  33.4783 -109.7517 1848.6 AZ BLACK RIVER PUMPS                            TRADITIONAL  
USC00020871  34.6108 -111.1922 2097.0 AZ BLUE RIDGE RS                                PSEUDONORMALS
USC00020949  33.9431 -114.0242  281.9 AZ BOUSE                                        TRADITIONAL  
USC00020958  32.3250 -109.4917 1151.2 AZ BOWIE                                        TRADITIONAL  
USC00021001  36.2147 -112.0620 2438.4 AZ BRIGHT ANGEL RS                              TRADITIONAL  
USC00021026  33.3761 -112.5828  271.3 AZ BUCKEYE                            HCN       TRADITIONAL  
USC00021050  35.1411 -114.5686  161.8 AZ BULLHEAD CITY                                TRADITIONAL  
USC00021231  31.5589 -110.5294 1527.0 AZ CANELO 1 NW                                  TRADITIONAL  
USC00021248  36.1533 -109.5394 1709.9 AZ CANYON DE CHELLY                   HCN       TRADITIONAL  
USC00021282  33.8161 -111.9019  771.1 AZ CAREFREE                                     TRADITIONAL  
USC00021306  32.8878 -111.7117  427.6 AZ CASA GRANDE                                  TRADITIONAL  
USC00021314  32.9947 -111.5367  432.5 AZ CASA GRANDE NM                               TRADITIONAL  
USC00021330  32.3222 -110.4147  973.5 AZ CASCABEL                                     TRADITIONAL  
