AQC00914000 -14.3167 -170.7667  408.4 AS AASUFOU                                      TRADITIONAL  
AQW00061705 -14.3306 -170.7136    3.7 AS PAGO PAGO WSO AP               GSN     91765 TRADITIONAL  
USC00023160  35.2681 -111.7428 2239.4 AZ FT VALLEY                          HCN       TRADITIONAL  
USC00023190  33.6028 -111.7131  481.6 AZ FOUNTAIN HILLS                               TRADITIONAL  
USC00023303  35.7164 -109.5661 1932.4 AZ GANADO                                       PSEUDONORMALS
USC00023393  32.9481 -112.7131  224.0 AZ GILA BEND                                    TRADITIONAL  
USC00023448  34.1111 -111.2758  883.9 AZ GISELA                                       TRADITIONAL  
USC00023505  33.3767 -110.7711 1112.5 AZ GLOBE                                        TRADITIONAL  
USC00023596  36.0528 -112.1503 2068.1 AZ GRAND CANYON NP 2                  HCN       TRADITIONAL  
USC00023668  31.8931 -110.9978  883.9 AZ GREEN VALLEY                                 TRADITIONAL  
USC00023683  34.0219 -109.4519 2522.2 AZ GREER                                        TRADITIONAL  
USC00023828  34.7433 -111.4139 2279.9 AZ HAPPY JACK RS                                PSEUDONORMALS
USC00023961  34.3925 -110.5581 2008.6 AZ HEBER BLACK MESA RS                          PSEUDONORMALS
USC00024053  34.4700 -112.8881 1011.9 AZ HILLSIDE 4 NNE                               TRADITIONAL  
USC00024089  34.9094 -110.1544 1549.9 AZ HOLBROOK                           HCN       TRADITIONAL  
USC00024182  33.9825 -111.7139  615.7 AZ HORSESHOE DAM                                TRADITIONAL  
USC00024391  34.4025 -111.6181 1156.7 AZ IRVING                                       TRADITIONAL  
USC00024453  34.7522 -112.1114 1508.8 AZ JEROME                                       TRADITIONAL  
USC00024586  35.8111 -110.1917 1891.3 AZ KEAMS CANYON                                 PSEUDONORMALS
USC00024590  33.0483 -110.9125  557.8 AZ KEARNY                                       TRADITIONAL  
USC00024675  31.9600 -111.5972 2069.6 AZ KITT PEAK                                    TRADITIONAL  
USC00024702  33.2742 -113.9653  541.0 AZ KOFA MINE                                    TRADITIONAL  
USC00024761  34.5031 -114.3603  136.9 AZ LAKE HAVASU CITY                             TRADITIONAL  
USC00024829  33.3369 -112.1472  345.9 AZ LAVEEN 3 SSE                                 TRADITIONAL  
USC00024849  36.8644 -111.6022  978.4 AZ LEES FERRY                         HCN       TRADITIONAL  
USC00024977  33.4992 -112.3631  317.0 AZ LITCHFIELD PARK                              TRADITIONAL  
USC00025129  36.4192 -109.2269 1987.3 AZ LUKACHUKAI                                   TRADITIONAL  
USC00025270  33.1139 -112.0303  353.6 AZ MARICOPA 4 N                                 TRADITIONAL  
USC00025412  34.1142 -109.8589 2237.2 AZ MC NARY 2N                                   TRADITIONAL  
USC00025418  31.6017 -109.6686 1271.0 AZ MC NEAL                                      TRADITIONAL  
USC00025426  36.0183 -114.0681  895.5 AZ MEADVIEW 1W                                  PSEUDONORMALS
USC00025467  33.4114 -111.8183  376.4 AZ MESA                                         TRADITIONAL  
USC00025512  33.4044 -110.8700 1085.1 AZ MIAMI                              HCN       TRADITIONAL  
USC00025635  34.6106 -111.8381  969.3 AZ MONTEZUMA CASTLE NM                          TRADITIONAL  
USC00025665  36.9853 -110.1200 1676.7 AZ MONUMENT VALLEY                              TRADITIONAL  
USC00025700  33.5544 -111.4425  519.7 AZ MORMON FLAT                                  TRADITIONAL  
USC00025780  34.9364 -111.6392 1972.1 AZ MUND'S PARK                                  TRADITIONAL  
USC00025825  34.3222 -111.4533 1401.5 AZ NATURAL BRG                                  PSEUDONORMALS
USC00025908  32.1167 -110.6833  929.6 AZ N LAZY H RCH                                 TRADITIONAL  
USC00025924  31.4553 -110.9681 1054.9 AZ NOGALES 6 N                                  TRADITIONAL  
USC00026037  34.9589 -111.7553 1566.4 AZ OAK CREEK CANYON                             TRADITIONAL  
USC00026119  32.6025 -110.7344 1374.6 AZ ORACLE 2 SE                                  TRADITIONAL  
USC00026132  31.9556 -112.8003  511.5 AZ ORGAN PIPE CACTUS NM                         TRADITIONAL  
USC00026180  36.9208 -111.4483 1301.5 AZ PAGE                                   72378 TRADITIONAL  
USC00026190  35.0681 -109.7689 1755.6 AZ PAINTED DESERT NP                            TRADITIONAL  
USC00026194  33.0772 -113.0317  173.1 AZ PAINTED ROCK DAM                             PSEUDONORMALS
USC00026250  34.1547 -114.2897  128.0 AZ PARKER                             HCN       TRADITIONAL  
USC00026282  31.5481 -110.7517 1277.1 AZ PATAGONIA #2                                 TRADITIONAL  
USC00026328  35.5406 -113.4236 1472.8 AZ PEACH SPRINGS                                TRADITIONAL  
USC00026353  31.9356 -109.8378 1325.9 AZ PEARCE - SUNSITES                  HCN       TRADITIONAL  
USC00026468  34.7994 -109.8850 1659.9 AZ PETRIFIED FOREST NP                          TRADITIONAL  
USC00026471  36.1383 -112.0958  771.1 AZ PHANTOM RANCH                                TRADITIONAL  
USC00026513  32.6464 -111.4017  603.8 AZ PICACHO 8 SE                                 TRADITIONAL  
USC00026597  34.1167 -109.9333 2121.4 AZ PINETOP                                      TRADITIONAL  
USC00026601  34.1242 -109.9219 2194.6 AZ PINETOP 2E                                   TRADITIONAL  
USC00026603  33.7275 -111.8606  781.8 AZ PINNACLE PEAK                                PSEUDONORMALS
USC00026616  36.8586 -112.7386 1499.6 AZ PIPE SPRINGS NATL MON                        TRADITIONAL  
USC00026653  34.0989 -110.9442 1539.2 AZ PLEASANT VALLEY R S                          TRADITIONAL  
USC00026716  31.8828 -109.2058 1642.9 AZ PORTAL 4 SW                                  TRADITIONAL  
USC00026796  34.5706 -112.4322 1586.5 AZ PRESCOTT                           HCN       TRADITIONAL  
USC00026840  33.8556 -111.3064  708.7 AZ PUNKIN CTR                                   TRADITIONAL  
USC00026865  33.6650 -114.2272  266.7 AZ QUARTZSITE                                   TRADITIONAL  
USC00027036  32.3903 -110.4667  896.1 AZ REDINGTON                                    TRADITIONAL  
USC00027281  33.6731 -111.1508  672.1 AZ ROOSEVELT 1 WNW                    HCN       TRADITIONAL  
USC00027334  31.7561 -109.4131 1636.8 AZ RUCKER CANYON                                TRADITIONAL  
USC00027370  33.0722 -111.7661  396.2 AZ SACATON                            HCN       TRADITIONAL  
USC00027390  32.8150 -109.6808  900.4 AZ SAFFORD AGRICULTRL CTR             HCN       TRADITIONAL  
USC00027435  34.5172 -109.4028 1764.8 AZ SAINT JOHNS                        HCN       TRADITIONAL  
USC00027462  33.6833 -113.4833  487.4 AZ SALOME 17 SE                                 TRADITIONAL  
USC00027480  33.1819 -110.5261  771.8 AZ SAN CARLOS RSVR                              TRADITIONAL  
USC00027488  35.2239 -109.3222 1784.0 AZ SANDERS                                      TRADITIONAL  
USC00027530  32.6014 -110.6339 1054.6 AZ SAN MANUEL                                   TRADITIONAL  
USC00027560  32.2714 -109.2256 1100.3 AZ SAN SIMON                                    TRADITIONAL  
USC00027593  31.7625 -110.8464 1310.6 AZ SANTA RITA EXP RANGE                         TRADITIONAL  
USC00027619  31.4831 -111.5436 1094.2 AZ SASABE                                       TRADITIONAL  
USC00027622  31.6036 -111.6022 1165.9 AZ SASABE 7 NW                                  TRADITIONAL  
USC00027625  31.5717 -111.5056 1065.3 AZ SASABE 6 NNE                                 PSEUDONORMALS
USC00027708  34.8956 -111.7644 1286.3 AZ SEDONA                                       TRADITIONAL  
USC00027716  35.3322 -112.8797 1600.2 AZ SELIGMAN                           HCN       TRADITIONAL  
USC00027855  34.2639 -110.0075 1954.1 AZ SHOW LOW AP                                  TRADITIONAL  
USC00027880  31.5553 -110.2847 1402.1 AZ SIERRA VISTA                                 TRADITIONAL  
USC00028012  34.5081 -110.0839 1719.7 AZ SNOWFLAKE                                    TRADITIONAL  
USC00028018  34.5000 -110.3333 1853.2 AZ SNOWFLAKE 15 W                               TRADITIONAL  
USC00028112  33.3814 -112.0700  352.0 AZ SOUTH PHOENIX                                TRADITIONAL  
USC00028162  34.1311 -109.2750 2133.0 AZ SPRINGERVILLE                                TRADITIONAL  
USC00028214  33.5575 -111.5358  433.4 AZ STEWART MOUNTAIN                             TRADITIONAL  
USC00028329  35.3694 -111.5436 2127.5 AZ SUNSET CRATER NM                             TRADITIONAL  
USC00028348  33.3003 -111.0972  871.7 AZ SUPERIOR                                     TRADITIONAL  
USC00028349  33.3050 -111.0672 1266.4 AZ SUPERIOR 2 ENE                               TRADITIONAL  
USC00028396  32.7225 -113.9192   98.8 AZ TACNA 3 NE                                   TRADITIONAL  
USC00028468  36.9233 -109.0900 1612.4 AZ TEEC NOS POS                                 TRADITIONAL  
USC00028499  33.4258 -111.9217  355.7 AZ TEMPE ASU                                    TRADITIONAL  
USC00028516  36.0300 -114.3289  390.1 AZ TEMPLE BAR                                   TRADITIONAL  
USC00028598  33.4519 -112.2433  312.4 AZ TOLLESON 1 E                                 TRADITIONAL  
USC00028619  31.7119 -110.0686 1420.1 AZ TOMBSTONE                          HCN       TRADITIONAL  
USC00028641  33.4203 -112.8600  396.2 AZ TONOPAH                                      TRADITIONAL  
USC00028650  34.3839 -111.0972 1947.7 AZ TONTO CK FISH HAT NO2                        TRADITIONAL  
USC00028792  36.1306 -111.2436 1520.3 AZ TUBA CITY                                    TRADITIONAL  
USC00028795  32.2542 -111.1961  780.6 AZ TUCSON 17 NW                                 TRADITIONAL  
USC00028796  32.2817 -110.9442  710.2 AZ TUCSON CAMP AVE EXP                          TRADITIONAL  
USC00028800  32.2500 -110.8333  769.9 AZ TUCSON MAGNETIC OBSY                         TRADITIONAL  
USC00028815  32.2292 -110.9536  742.2 AZ TUCSON WFO                         HCN       TRADITIONAL  
USC00028817  32.2581 -111.0053  705.6 AZ TUCSON U OF A #1                             TRADITIONAL  
USC00028865  31.5678 -111.0497  995.8 AZ TUMACACORI NM                                TRADITIONAL  
USC00028904  34.7706 -112.0264 1057.7 AZ TUZIGOOT                                     TRADITIONAL  
USC00028998  32.1264 -110.7247  908.3 AZ VAIL 7 N                                     TRADITIONAL  
USC00029114  36.9953 -111.4914 1136.9 AZ WAHWEAP                                      TRADITIONAL  
USC00029156  35.1706 -111.5067 2037.6 AZ WALNUT CANYON N.M.                           TRADITIONAL  
USC00029158  34.9281 -112.8097 1551.4 AZ WALNUT CREEK                                 TRADITIONAL  
USC00029166  34.3117 -112.5620 1147.3 AZ WALNUT GROVE                                 TRADITIONAL  
USC00029271  33.8214 -109.9839 1575.8 AZ WHITERIVER 1 SW                    HCN       TRADITIONAL  
USC00029287  33.9792 -112.7403  638.6 AZ WICKENBURG                         HCN       TRADITIONAL  
USC00029309  34.7061 -113.6136  612.6 AZ WIKIEUP                                      TRADITIONAL  
USC00029334  32.2553 -109.8369 1271.0 AZ WILLCOX                                      TRADITIONAL  
USC00029359  35.2406 -112.1903 2057.4 AZ WILLIAMS                           HCN       TRADITIONAL  
USC00029376  35.8686 -114.6611  225.6 AZ WILLOW BEACH                                 TRADITIONAL  
USC00029410  35.6169 -109.1244 2109.2 AZ WINDOW ROCK 4 SW                             TRADITIONAL  
USC00029464  33.7478 -112.5983  509.0 AZ WITTMANN 4SW                                 PSEUDONORMALS
USC00029542  35.5247 -111.3703 1496.0 AZ WUPATKI NM                                   TRADITIONAL  
USC00029562  31.4517 -110.2267 1399.0 AZ Y LIGHTNING RCH                              TRADITIONAL  
USC00029634  33.5950 -112.3014  345.9 AZ YOUNGTOWN                                    TRADITIONAL  
USC00029645  34.8775 -114.1344  594.4 AZ YUCCA 1 NNE                                  TRADITIONAL  
USC00029652  32.6114 -114.6350   58.2 AZ YUMA CITRUS STN                    HCN       TRADITIONAL  
USC00029656  32.7278 -114.6217   48.8 AZ YUMA QUARTERMASTER DEPOT                     TRADITIONAL  
USC00030006  35.0764  -94.2025  190.2 AR ABBOTT                                       TRADITIONAL  
USC00030064  35.9289  -91.0583   76.8 AR ALICIA 2NNE                                  TRADITIONAL  
USC00030130  34.7961  -92.8417  212.8 AR ALUM FORK                                    TRADITIONAL  
USC00030150  34.2808  -93.4614  140.2 AR AMITY 1N                                     TRADITIONAL  
USC00030220  34.1433  -93.0589   59.7 AR ARKADELPHIA 2 N                              TRADITIONAL  
USC00030234  33.6061  -91.2186   44.2 AR ARKANSAS CITY                                TRADITIONAL  
USC00030240  34.0250  -91.3444   59.1 AR ARKANSAS POST                                TRADITIONAL  
USC00030286  33.6194  -94.0994   97.5 AR ASHDOWN 4 SSE                                TRADITIONAL  
USC00030300  34.3253  -93.9811  292.6 AR ATHENS                                       TRADITIONAL  
USC00030326  35.2894  -91.3533   59.4 AR AUGUSTA                                      TRADITIONAL  
USC00030458  35.8306  -91.7944  174.0 AR BATESVILLE LVSTK                             TRADITIONAL  
USC00030460  35.7600  -91.6389   88.4 AR BATESVILLE L&D 1                             TRADITIONAL  
USC00030586  36.3219  -94.2150  371.9 AR BENTONVILLE 4 S                              TRADITIONAL  
USC00030616  36.4294  -93.6256  359.7 AR BERRYVILLE 5 NW                              TRADITIONAL  
USC00030664  34.4619  -93.9983  365.8 AR BIG FORK 1 SSE                               TRADITIONAL  
USC00030746  36.1067  -91.1039   73.2 AR BLACK ROCK                                   TRADITIONAL  
USC00030764  34.5697  -93.1947  129.8 AR BLAKELY MTN DAM                              TRADITIONAL  
USC00030798  35.1161  -93.6506  129.8 AR BLUE MTN DAM                                 TRADITIONAL  
USC00030806  35.9239  -89.9044   76.8 AR BLYTHEVILLE                                  TRADITIONAL  
USC00030814  34.3267  -94.4122  358.1 AR BOGG SPRINGS                                 TRADITIONAL  
USC00030832  35.0931  -93.9258  182.9 AR BOONEVILLE 3 SSE                             TRADITIONAL  
USC00030936  34.8822  -91.2153   56.4 AR BRINKLEY                           HCN       TRADITIONAL  
USC00031102  34.9817  -92.0064   91.4 AR CABOT                                        TRADITIONAL  
USC00031132  36.1092  -92.1636  106.7 AR CALICO ROCK 2 WSW                            TRADITIONAL  
USC00031140  33.3111  -92.4850   30.5 AR CALION L&D                                   TRADITIONAL  
USC00031152  33.5900  -92.8236   35.4 AR CAMDEN 1                                     TRADITIONAL  
USC00031191  33.9153  -91.7711   79.2 AR CANE CREEK SP                                PSEUDONORMALS
USC00031310  35.3228  -92.5672  195.1 AR CENTER RIDGE 4 S                             TRADITIONAL  
USC00031328  35.1125  -93.1661  103.6 AR CENTERVILLE                                  PSEUDONORMALS
USC00031442  34.6800  -91.2208   54.9 AR CLARENDON                                    TRADITIONAL  
USC00031455  35.4833  -93.4500  138.4 AR CLARKSVILLE                                  TRADITIONAL  
USC00031457  35.5328  -93.4036  259.1 AR CLARKSVILLE 6 NE                             TRADITIONAL  
USC00031459  35.4564  -93.4425  189.0 AR CLARKSVILLE 2                                TRADITIONAL  
USC00031492  35.5836  -92.4511  173.7 AR CLINTON                                      TRADITIONAL  
USC00031508  35.4364  -93.6717  142.0 AR COAL HILL                                    TRADITIONAL  
USC00031596  35.0833  -92.4294   96.0 AR CONWAY                             HCN       TRADITIONAL  
USC00031632  36.4197  -90.5858   91.4 AR CORNING                            HCN       TRADITIONAL  
USC00031666  34.4314  -94.4175  323.1 AR COVE                                         TRADITIONAL  
